pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16412
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	22036
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	17999
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	20195
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	56464
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	18950
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16161
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	75234
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	66156
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	11501
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16410
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	27357
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	228421
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	66848
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	22166
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	19348
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	72157
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16878
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	227753
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	18413
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12367
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	17918
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	66934
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	110033
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	227613
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	70152
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	11674
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	67951
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	17164
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	15200
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	68612
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	11964
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	20849
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	71865
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	140579
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	69706
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	75345
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12977
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	214639
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	18641
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	73086
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	64138
